"","intercambio","genero","uni","conocimiento_intercambio","prendas_entrada","prendas_salida","puntos_entrada","puntos_salida","hora_inscripcion","destacable_evento","repetidor","puntos_extra","puntos_antes","hora_entrada","fiel_intercambio","entrada_prenda_1","entrada_prenda_2","entrada_prenda_3","entrada_prenda_4","entrada_prenda_5","hora_salida","salida_prenda_1","salida_prenda_2","salida_prenda_3","salida_prenda_4","salida_prenda_5","salida_prenda_6","salida_prenda_7","salida_prenda_8","salida_prenda_9"
"838","2025_4","Mujer","UC3M",NA,0,0,0,0,2025-04-01 14:40:47,NA,"Segunda vez",NA,0,"","Segundo intercambio","","","","","","","","","","","","","","",""
"839","2025_4","Mujer","UC3M","Amigos",3,2,9,7,2025-04-01 14:50:31,NA,"Primera vez",NA,0,"14:10:31","Primer intercambio","Pantalón","Vestido","Camiseta/Polo/Top","","","2/04/2025 17:21:58","Camiseta/Polo/Top","","","","","","","",""
"840","2025_4","Mujer","UC3M","Comunicación UC3M",0,0,0,0,2025-04-01 15:16:29,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"841","2025_4","Mujer","No soy de la universidad...",NA,5,0,12,12,2025-04-01 15:29:32,NA,"Varias veces",NA,0,"16:47:13","Primer intercambio","Pantalón","Pantalón","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","","","","","","",""
"842","2025_4","Mujer","UC3M",NA,0,0,0,0,2025-04-01 17:26:28,NA,"Segunda vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"843","2025_4","Mujer","UC3M","Amigo organizador",5,3,12,6,2025-04-01 17:42:29,NA,"Primera vez",NA,0,"12:29:32","Primer intercambio","Pantalón","Pantalón","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","2/04/2025 14:18:00","Vestido","Camiseta/Polo/Top","","","","","","",""
"844","2025_4","Mujer","UC3M",NA,0,0,2,2,2025-04-01 17:43:51,NA,"Varias veces",2,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"845","2025_4","Hombre","UFV","Amigo organizador",1,0,4,4,2025-04-01 18:55:44,NA,"Primera vez",NA,0,"13:28:14","Primer intercambio","Sudadera","","","","","","","","","","","","","",""
"846","2025_4","Hombre","UCM",NA,5,3,33,21,2025-04-01 19:36:14,NA,"Varias veces",NA,14,"12:05:55","Segundo intercambio","Sudadera","Sudadera","Sudadera","Jersey","Pantalón","2/04/2025 12:45:42","Chaqueta","Chaqueta","","","","","","",""
"847","2025_4","Mujer","UC3M",NA,5,10,33,7,2025-04-01 20:32:19,NA,"Varias veces",NA,5,"14:01:00","Tercer intercambio","Abrigo","Abrigo","Vestido","Abrigo","Abrigo","2/04/2025 14:59:02","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","Sudadera","Jersey","Sudadera","Pantalón","Pantalón","Camiseta/Polo/Top"
"848","2025_4","Mujer","UC3M",NA,0,0,4,4,2025-04-01 20:37:05,NA,"Segunda vez",NA,4,"","Segundo intercambio","","","","","","","","","","","","","","",""
"849","2025_4","Mujer","UC3M",NA,1,2,4,0,2025-04-01 21:05:34,NA,"Segunda vez",NA,0,"12:35:05","Primer intercambio","Jersey","","","","","2/04/2025 12:34:14","Jersey","","","","","","","",""
"850","2025_4","Mujer","UC3M","Amigo organizador",1,2,2,-4,2025-04-01 22:15:37,NA,"Primera vez",NA,0,"12:42:12","Primer intercambio","Camiseta/Polo/Top","","","","","2/04/2025 13:14:37","Chaqueta","","","","","","","",""
"851","2025_4","Mujer","UC3M",NA,5,5,19,4,2025-04-01 22:54:01,NA,"Varias veces",NA,7,"12:24:28","Segundo intercambio","Pantalón","Pantalón","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","2/04/2025 12:49:24","Falda","Falda","Chaqueta","Pantalón","","","","",""
"852","2025_4","Mujer","UC3M","Amigo organizador",0,0,0,0,2025-04-02 06:17:32,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"853","2025_4","Mujer","UC3M","Comunicación UC3M",4,3,13,8,2025-04-02 06:33:20,NA,"Primera vez",NA,0,"11:27:46","Primer intercambio","Pantalón","Abrigo","Camiseta/Polo/Top","Camiseta/Polo/Top","","2/04/2025 12:26:24","Pantalón","Camiseta/Polo/Top","","","","","","",""
"854","2025_4","Mujer","UC3M",NA,4,3,12,2,2025-04-02 07:07:43,NA,"Segunda vez",NA,0,"11:10:59","Primer intercambio","Pantalón","Pantalón","Pantalón","Pantalón","","2/04/2025 12:23:07","Jersey","Chaqueta","","","","","","",""
